編號,模組,驗收項目,測試方式,通過標準,優先
A-001,Webhook,LINE Webhook URL 可驗證,LINE Developers Verify,顯示 Success,P0
A-002,Webhook,Worker 驗證 LINE signature,送出有效/無效簽章,有效通過且無效 403,P0
A-003,Webhook,母站 webhook 轉發,LINE 發送訊息,母站流程仍可收到事件,P0
A-004,Webhook,子站 D1 寫入事件,LINE 發送測試訊息,D1 有 intake log 與 message,P0
A-005,LINE OA 總覽,顯示 D1 Token OpenAI 狀態,開啟總覽,狀態正確且可刷新,P0
A-006,LINE OA 總覽,顯示最新事件,發送 LINE 訊息,總覽出現最新訊息,P1
A-007,聊天室監控,聊天室列表顯示訊息,LINE 留言,左欄出現 thread,P0
A-008,聊天室監控,顯示 LINE 名稱與頭像,Profile API 可讀時,非 placeholder 名稱與頭像,P1
A-009,聊天室監控,AI 分類抱怨,輸入不能用優惠,分類為抱怨或待處理,P1
A-010,聊天室監控,管理員備註可儲存,輸入備註,重整後仍存在,P1
A-011,聊天室監控,正式回覆送出,管理員送出文字,LINE 用戶收到訊息且後台留紀錄,P0
A-012,關鍵字,分享給好友觸發,LINE 輸入關鍵字,產生帶 UID 推薦連結,P0
A-013,關鍵字,每日打卡取點,LINE 輸入關鍵字,呼叫點數 API 並有冷卻限制,P0
A-014,關鍵字,到店打卡,掃店家 QR,依店家與身份贈點,P0
A-015,關鍵字,規則可新增停用,後台操作,規則立即影響觸發,P1
A-016,員工驗證,工號加 MMDD 驗證,輸入正確資料,綁定 LINE User ID,P0
A-017,員工驗證,錯誤資料不得綁定,輸入錯誤資料,顯示失敗且不寫入綁定,P0
A-018,CRM,LINE 好友進入 CRM,新用戶傳訊,CRM 出現 LINE User ID,P0
A-019,CRM,CRM 欄位可編輯,編輯電話標籤,儲存並可搜尋,P1
A-020,CRM,推薦關係可記錄,用推薦連結加入,被推薦人掛在推薦人名下,P1
A-021,廠商申請,申請頁可開啟,開啟 /vendor-apply,表單正常顯示,P0
A-022,廠商申請,檔案上傳,上傳證照保險,檔案進 R2 且後台可查看,P0
A-023,廠商申請,必填欄位驗證,空白送出,顯示缺漏且不建立無效資料,P0
A-024,廠商審核,清單一行一家,新增多筆申請,依時間排序且可點入明細,P1
A-025,廠商審核,核准退回停權,後台操作,狀態更新且留審核紀錄,P0
A-026,廠商資料,編輯申請表,修改聯絡資料,儲存後列表同步更新,P1
A-027,商品上架,廠商建立優惠,建立商品,進入待審狀態,P0
A-028,商品上架,訪客價不得低於員工價,輸入違規價格,系統阻擋送審或核准,P0
A-029,OCR,菜單 OCR 產生草稿,上傳菜單,產出品項價格限制,P1
A-030,OCR,AI 草稿需人工確認,OCR 後檢查,不會直接公開,P0
A-031,優惠審核,審核通過才上架,待審優惠,未核准前前台不可見,P0
A-032,QR 折抵,員工掃碼取得員工價,員工身份掃 QR,實付為員工價,P0
A-033,QR 折抵,訪客掃碼不得取得員工價,訪客身份掃 QR,顯示訪客價或公開價,P0
A-034,QR 折抵,折抵紀錄完整,完成核銷,原價實付身份店家皆有,P0
A-035,點數,新增點數 API 串接,呼叫母站 API,回傳 success 並留紀錄,P0
A-036,點數,查詢點數 API 串接,查詢 LINE User ID,顯示列表與分頁,P1
A-037,地圖,縣市分類,選縣市,顯示該縣市店家,P1
A-038,地圖,醫療獨立分類,選特約醫療院所,顯示醫療院所且仍保留縣市分類,P1
A-039,地圖,無 LBS 依賴,不授權定位,仍可查分類與店家,P1
A-040,Rich Menu,可上傳底圖與劃區,建立選單,JSON 合法,P1
A-041,Rich Menu,可部署至 LINE,按部署,LINE 官方帳號選單更新,P0
A-042,Flex,自由版可建立專案,新增專案,專案出現在我的檔案夾,P0
A-043,Flex,專案可儲存與開啟,儲存後重整,可重新開啟編輯,P0
A-044,Flex,分享好友喚起通訊錄,按分享好友,LIFF shareTargetPicker 開啟通訊錄,P0
A-045,Flex,分享不得空包彈,分享後檢查,收件好友收到 Flex,P0
A-046,Flex,網址擷取器,輸入 URL,產生可編輯 Flex 草稿,P1
A-047,分眾推播,依標籤篩選受眾,選標籤,受眾數正確,P0
A-048,分眾推播,發送官方文字,送測試名單,用戶收到文字,P0
A-049,分眾推播,發送客製 Flex,選 Flex 模板,用戶收到 Flex,P0
A-050,分眾推播,推播紀錄,完成推播,成功失敗數可查,P1
A-051,知識庫,文字知識可儲存,新增文字,AI 可引用,P1
A-052,知識庫,網址知識可儲存,新增 URL,顯示 URL 與摘要,P1
A-053,知識庫,檔案上傳,上傳 PDF,檔案進 R2 並建立索引,P0
A-054,多語 AI,印尼文詢問,輸入印尼文,回覆印尼文且內容正確,P1
A-055,多語 AI,泰文詢問,輸入泰文,回覆泰文且內容正確,P1
A-056,權限,API Key 不外露,檢查前端原始碼,不含敏感 Key,P0
A-057,權限,廠商只看自己資料,廠商帳號登入,不可看其他廠商,P0
A-058,權限,員工價需驗證,未綁定用戶查看,不顯示員工專屬價,P0
A-059,報表,日週月營運統計,建立折抵資料,報表數字正確,P2
A-060,稽核,操作留痕,審核推播折抵,可查操作者與時間,P1
A-061,Rich Menu 身分綁定,可建立身份與語系套用規則,開啟 Rich Menu 身分綁定頁新增規則,規則寫入 D1 且列表顯示優先序與標註說明,P0
A-062,Rich Menu 身分綁定,預設規則覆蓋訪客員工廠商管理者,按重建預設規則,出現 guest_zh employee_zh employee_id employee_th vendor_pending vendor_approved admin_menu,P0

